id,type,text,base,complexity
48,weak_semantic,Best practices for what is the pythagorean theorem?,What is the Pythagorean theorem?,normal
60,hot,Explain DNS resolution,Explain DNS resolution,complex
79,unique,What is the speed of light? - sehzpotbpnweyceprg,What is the speed of light?,normal
31,strong_semantic,I need information on natural language processing,What is natural language processing?,normal
15,exact_repeat,What is climate change?,What is climate change?,normal
52,weak_semantic,Best practices for what is the speed of light?,What is the speed of light?,normal
38,strong_semantic,What can you tell me about memory management work?,How does memory management work?,normal
70,unique,What is the speed of light? - gpxkfzncbcqukbjz,What is the speed of light?,normal
50,weak_semantic,History of explain transaction isolation levels,Explain transaction isolation levels,simple
1,exact_repeat,What is database normalization?,What is database normalization?,normal
2,exact_repeat,Explain recurrent neural networks,Explain recurrent neural networks,complex
73,unique,What is an operating system? - bwycmbttdmo,What is an operating system?,normal
36,strong_semantic,Give me a summary of computer vision,What is computer vision?,normal
87,cold,thanks,thanks,simple
64,hot,What is a firewall?,What is a firewall?,normal
16,exact_repeat,What is TCP/IP?,What is TCP/IP?,normal
62,hot,How does backpropagation work?,How does backpropagation work?,normal
69,hot,How does backpropagation work?,How does backpropagation work?,normal
10,exact_repeat,What is reinforcement learning?,What is reinforcement learning?,normal
30,strong_semantic,Please describe convolutional neural network work,How does convolutional neural network work?,normal
98,dynamic_stale,Explain DNS resolution (as of 2021),Explain DNS resolution,complex
75,unique,Explain DNS resolution - bqfxwbgr,Explain DNS resolution,complex
6,exact_repeat,How does convolutional neural network work?,How does convolutional neural network work?,normal
45,weak_semantic,Common issues with explain transaction isolation levels,Explain transaction isolation levels,complex
97,dynamic_stale,What is reinforcement learning? (as of 2023),What is reinforcement learning?,normal
63,hot,What is a firewall?,What is a firewall?,normal
17,exact_repeat,What is TCP/IP?,What is TCP/IP?,normal
61,hot,What is CDN?,What is CDN?,normal
9,exact_repeat,Explain Big O notation,Explain Big O notation,complex
37,strong_semantic,What can you tell me about latency?,What is latency?,normal
41,strong_semantic,Can you explain latency?,What is latency?,normal
